iter	Passed	Remaining
0	153	153082
1	157	78466
2	160	53189
3	162	40370
4	164	32801
5	167	27691
6	171	24299
7	173	21495
8	175	19292
9	177	17542
10	179	16161
11	182	15003
12	184	14033
13	186	13146
14	188	12408
15	191	11750
16	193	11172
17	195	10665
18	198	10254
19	200	9818
20	202	9421
21	203	9052
22	205	8737
23	207	8448
24	209	8185
25	212	7949
26	213	7694
27	214	7454
28	216	7233
29	217	7025
30	218	6835
31	219	6646
32	220	6469
33	221	6301
34	222	6145
35	224	6010
36	226	5885
37	227	5748
38	227	5617
39	228	5493
40	229	5375
41	230	5262
42	231	5160
43	232	5060
44	233	4963
45	234	4870
46	235	4780
47	236	4693
48	237	4612
49	239	4542
50	240	4478
51	241	4402
52	242	4330
53	243	4261
54	244	4197
55	245	4136
56	246	4075
57	247	4014
58	247	3954
59	248	3896
60	249	3839
61	250	3784
62	251	3735
63	252	3691
64	253	3650
65	254	3603
66	255	3556
67	256	3509
68	256	3464
69	257	3420
70	258	3380
71	259	3338
72	259	3298
73	260	3260
74	261	3223
75	262	3187
76	262	3150
77	263	3116
78	264	3082
79	265	3048
80	265	3016
81	267	2990
82	267	2960
83	268	2933
84	269	2904
85	270	2875
86	271	2849
87	272	2822
88	273	2795
89	273	2768
90	274	2742
91	275	2716
92	275	2691
93	276	2666
94	277	2643
95	278	2620
96	279	2597
97	279	2575
98	280	2553
99	281	2537
100	283	2520
101	284	2500
102	284	2481
103	285	2462
104	286	2442
105	287	2423
106	288	2404
107	288	2385
108	289	2366
109	290	2348
110	291	2331
111	291	2313
112	292	2296
113	293	2279
114	294	2262
115	294	2246
116	296	2234
117	297	2222
118	298	2211
119	299	2197
120	300	2183
121	301	2168
122	302	2154
123	302	2139
124	303	2125
125	304	2112
126	305	2097
127	305	2084
128	306	2071
129	307	2058
130	308	2045
131	309	2032
132	310	2021
133	311	2013
134	313	2010
135	315	2001
136	316	1990
137	316	1979
138	317	1967
139	318	1955
140	319	1944
141	319	1931
142	320	1920
143	321	1909
144	322	1898
145	323	1890
146	324	1881
147	325	1872
148	327	1873
149	329	1864
150	330	1855
151	330	1845
152	331	1835
153	332	1825
154	333	1815
155	333	1806
156	334	1796
157	335	1786
158	335	1777
159	336	1767
160	337	1756
161	337	1747
162	338	1738
163	339	1731
164	341	1727
165	343	1725
166	344	1717
167	345	1709
168	346	1701
169	346	1693
170	347	1685
171	348	1677
172	349	1669
173	349	1661
174	350	1652
175	351	1644
176	352	1636
177	352	1628
178	362	1662
179	391	1784
180	395	1787
181	401	1803
182	405	1811
183	407	1807
184	408	1799
185	409	1791
186	410	1784
187	411	1777
188	412	1770
189	413	1763
190	414	1756
191	415	1750
192	417	1746
193	419	1743
194	420	1736
195	421	1729
196	422	1722
197	423	1715
198	424	1708
199	425	1701
200	426	1694
201	427	1688
202	428	1681
203	429	1674
204	430	1669
205	432	1667
206	434	1662
207	435	1656
208	436	1650
209	436	1643
210	437	1637
211	439	1631
212	439	1625
213	440	1618
214	441	1612
215	442	1605
216	443	1599
217	444	1593
218	445	1590
219	447	1585
220	448	1580
221	449	1574
222	450	1568
223	450	1561
224	452	1557
225	452	1551
226	453	1545
227	454	1539
228	455	1533
229	456	1528
230	457	1522
231	458	1516
232	461	1517
233	463	1515
234	464	1512
235	465	1507
236	466	1502
237	467	1497
238	468	1491
239	469	1486
240	470	1480
241	471	1475
242	471	1470
243	473	1465
244	474	1461
245	477	1462
246	478	1459
247	480	1456
248	481	1451
249	482	1447
250	483	1443
251	484	1438
252	485	1433
253	486	1428
254	487	1424
255	488	1420
256	490	1417
257	492	1415
258	493	1411
259	494	1406
260	495	1402
261	496	1398
262	497	1394
263	498	1389
264	499	1385
265	500	1381
266	501	1376
267	502	1372
268	503	1368
269	506	1370
270	508	1367
271	509	1363
272	510	1360
273	513	1360
274	514	1356
275	515	1351
276	516	1349
277	518	1345
278	519	1342
279	524	1348
280	526	1347
281	527	1343
282	528	1338
283	529	1334
284	530	1330
285	531	1326
286	532	1321
287	533	1318
288	535	1317
289	537	1315
290	538	1311
291	538	1306
292	539	1302
293	540	1298
294	541	1293
295	542	1289
296	543	1285
297	543	1281
298	544	1277
299	545	1272
300	546	1268
301	547	1265
302	548	1262
303	549	1258
304	550	1254
305	551	1250
306	552	1246
307	553	1242
308	553	1238
309	554	1234
310	555	1229
311	555	1225
312	556	1221
313	557	1217
314	558	1213
315	559	1210
316	559	1206
317	560	1202
318	561	1199
319	562	1195
320	564	1193
321	565	1190
322	566	1186
323	566	1182
324	567	1178
325	568	1174
326	568	1170
327	569	1167
328	570	1163
329	571	1159
330	571	1155
331	572	1152
332	573	1148
333	574	1144
334	575	1141
335	576	1138
336	577	1136
337	578	1133
338	579	1130
339	580	1126
340	581	1123
341	581	1119
342	582	1116
343	583	1112
344	584	1108
345	584	1105
346	585	1101
347	586	1098
348	587	1094
349	587	1091
350	588	1088
351	589	1085
352	590	1082
353	591	1080
354	593	1078
355	594	1075
356	595	1072
357	596	1069
358	597	1066
359	597	1062
360	598	1059
361	599	1056
362	600	1053
363	601	1050
364	602	1047
365	603	1044
366	603	1041
367	604	1038
368	605	1035
369	606	1033
370	608	1031
371	609	1028
372	610	1025
373	611	1022
374	612	1020
375	612	1017
376	613	1014
377	614	1011
378	615	1007
379	616	1005
380	617	1002
381	618	1000
382	619	997
383	620	995
384	622	994
385	624	992
386	625	990
387	626	987
388	626	984
389	627	981
390	628	979
391	629	976
392	630	974
393	631	971
394	632	968
395	633	966
396	634	964
397	635	961
398	637	960
399	638	957
400	639	954
401	639	951
402	640	949
403	641	946
404	642	943
405	643	940
406	644	938
407	644	935
408	645	933
409	646	930
410	647	928
411	649	926
412	651	925
413	652	923
414	653	920
415	653	917
416	654	915
417	655	912
418	656	910
419	657	907
420	658	905
421	659	902
422	659	900
423	660	897
424	661	895
425	662	892
426	665	893
427	667	891
428	667	888
429	668	886
430	669	884
431	670	881
432	671	879
433	672	876
434	673	874
435	674	872
436	674	869
437	675	866
438	676	864
439	677	862
440	678	859
441	680	858
442	681	857
443	682	854
444	683	852
445	684	850
446	685	848
447	686	846
448	687	843
449	688	841
450	689	839
451	690	837
452	691	834
453	692	832
454	694	831
455	695	830
456	696	827
457	697	825
458	698	823
459	699	821
460	700	818
461	701	816
462	702	814
463	703	812
464	703	809
465	704	807
466	705	805
467	706	803
468	707	801
469	709	799
470	710	798
471	711	796
472	712	793
473	713	791
474	714	789
475	714	787
476	715	784
477	716	782
478	717	780
479	718	778
480	719	776
481	720	773
482	721	771
483	722	769
484	724	769
485	725	767
486	726	765
487	727	763
488	728	761
489	729	759
490	730	756
491	731	754
492	731	752
493	732	750
494	733	748
495	734	746
496	735	743
497	736	742
498	738	741
499	740	740
500	740	737
501	741	735
502	742	733
503	743	731
504	744	729
505	745	727
506	745	725
507	746	723
508	747	721
509	748	719
510	749	717
511	752	716
512	754	716
513	755	714
514	756	712
515	757	710
516	758	708
517	759	706
518	759	704
